,OFTIC,CNAME_actual,PENDS,PDICITY,AMASKCD,MEAN,STDEV,BPS,CPS,CPX,DPS,EBI,EBT,EPS,GPS,GRM,NAV,NDT,NET,PRE,ROE,SAL
9925,ROP,ROPER TECH,2020-06-30,QTR,115952,372.4761904761905,55.38557487976364,94.6362,-3.631999999999999,7.6,0.51,449.6,461.0,2.94,2.08,64.6,9879.7,3995.6,311.2,400.0999999999999,12.0716,1306.0
9926,ROP,ROPER TECH,2020-09-30,QTR,92207,371.1818181818182,25.607882309235123,97.0377,-4.079999999999999,7.5,0.51,496.6,501.0,3.17,2.21,64.34,10160.9,9401.9,335.4,432.1,11.986,1369.1
9927,ROP,ROPER TECH,2020-12-31,QTR,92207,397.6428571428572,76.83409413781112,99.9291,-4.528,8.2,0.51,534.7,552.0,3.56,2.41,64.3,10479.8,9258.2,378.8,471.5,11.9004,1510.0
9928,ROP,ROPER TECH,2021-03-31,QTR,84139,508.44444444444446,54.8477691230717,102.5895,-4.976,9.1,0.56,545.5,561.0,3.6,2.73,64.72,10765.7,8742.9,381.43,472.75,11.8148,1530.0
9929,ROP,ROPER TECH,2021-06-30,QTR,18334,444.77777777777777,58.52088895808439,105.3715,-5.423999999999999,8.1,0.56,562.0,579.0,3.76,2.69,65.14,11089.2,8364.1,400.3,474.0,11.7292,1587.6
9930,ROP,ROPER TECH,2021-09-30,QTR,92207,462.44444444444446,71.50369065843928,107.5876,-5.871999999999999,5.3,0.56,546.5,602.0,3.91,2.71,68.1,11342.3,7976.6,417.197,487.2,11.6436,1462.8
9931,ROP,ROPER TECH,2021-12-31,QTR,92207,508.4,59.94293582696426,109.6252,-6.319999999999999,10.4,0.5900000000000001,557.85,576.0,3.73,2.6973,67.3,11563.8,7570.3,397.991,500.4,11.558,1512.3
9932,ROP,ROPER TECH,2022-03-31,QTR,129088,450.25,66.66895829394667,128.3289,-6.767999999999998,7.1,0.62,569.2,577.0,3.77,18.94,67.48,13551.9,4216.8,401.6,513.6,11.4724,1526.6
9933,ROP,ROPER TECH,2022-06-30,QTR,18334,505.4,68.03136531532104,129.6021,-7.215999999999998,6.6,0.62,507.9,515.0,3.95,2.52,69.52,13726.5,4577.9,421.86,506.05,11.3868,1311.0
9934,ROP,ROPER TECH,2022-09-30,QTR,129088,515.7142857142857,53.04922035449509,130.7221,-7.663999999999999,16.3,0.62,507.476,555.0,3.67,3.06,69.75,13857.8,4765.0,441.276,498.5,11.3012,1350.3
9935,ROP,ROPER TECH,2022-12-31,QTR,18334,453.1333333333333,70.52341725237356,151.2257,-8.111999999999998,10.1,0.62,539.238,592.0,3.92,18.18,70.0,16037.8,5868.9,418.656,494.55,11.2156,1430.9
9936,RSG,REPUBLIC SERVS,2015-03-31,QTR,120883,48.0,2.211083193570267,22.064,1.4,269.6,0.28,372.8,625.9,0.49,0.49,39.88,7764.7,7430.3,172.4,284.5,2.22,2169.4
9937,RSG,REPUBLIC SERVS,2015-06-30,QTR,105928,44.0,3.000000000000001,22.223,1.15,229.6,0.28,389.2,654.8,0.54,0.54,38.55,7764.7,7452.7,190.3,298.7,4.476666666666667,2311.4
9938,RSG,REPUBLIC SERVS,2015-09-30,QTR,105928,43.66666666666666,2.081665999466132,22.43,1.21,232.8,0.3,392.9,659.7,0.53,0.61,40.69,7802.2,7458.5,184.7,300.8,6.7333333333333325,2344.0
9939,RSG,REPUBLIC SERVS,2015-12-31,QTR,150416,46.16666666666666,2.4013884872437177,22.4945,1.02,213.6,0.3,358.4,622.9,0.5,0.49,38.71,7776.6,7541.8,175.0,26.399999999999977,8.99,2290.2
9940,RSG,REPUBLIC SERVS,2016-03-31,QTR,105928,56.333333333333336,3.2403703492039297,22.5347,1.24,271.5,0.3,363.0,626.0,0.48,0.45,38.57,7765.9,7527.0,167.3,270.1,8.61,2248.6
9941,RSG,REPUBLIC SERVS,2016-06-30,QTR,150416,49.57142857142857,2.6367367999823097,22.6312,1.2,240.5,0.3,396.6,666.4,0.55,0.52,38.71,7758.0,7572.0,189.5,306.2,9.77,2350.7
9942,RSG,REPUBLIC SERVS,2016-09-30,QTR,120883,52.91666666666666,2.020725942163691,22.4155,1.5,226.7,0.32,425.1,697.2,0.62,0.25,38.71,7641.5,7690.3,212.6,337.5,11.05,2409.3
9943,RSG,REPUBLIC SERVS,2016-12-31,QTR,105928,55.34777777777778,2.478617446167207,22.6615,1.43,189.1,0.32,399.0,664.2,0.57,0.55,38.41,7693.7,7591.1,193.8,301.7,10.11,2379.1
9944,RSG,REPUBLIC SERVS,2017-03-31,QTR,82384,69.25,1.5,22.678,1.3,223.9,0.32,385.3,655.2,0.55,0.55,37.98,7685.7,7636.9,187.3,296.2,9.75,2392.8
9945,RSG,REPUBLIC SERVS,2017-06-30,QTR,145563,61.90909090909091,4.036199832876104,22.7386,1.28,273.6,0.32,430.4,708.6,0.61,0.6,38.36,7665.1,7745.1,205.9,338.3,10.73,2526.7
9946,RSG,REPUBLIC SERVS,2017-09-30,QTR,123373,67.375,5.705573715987856,22.8742,1.49,271.5,0.345,437.1,717.9,0.67,0.66,38.32,7674.2,7793.8,225.2,345.7,11.75,2562.0
9947,RSG,REPUBLIC SERVS,2017-12-31,QTR,145563,68.45454545454545,5.538296423335182,23.994,1.58,220.8,0.345,408.8,696.0,0.61,1.98,37.77,7961.1,8104.1,203.8,298.5,10.43,2560.0
9948,RSG,REPUBLIC SERVS,2018-03-31,QTR,134644,76.4,5.319774431308153,24.0773,1.75,263.3,0.345,415.9,699.4,0.74,0.72,39.45,7914.3,8144.1,246.3,322.3,12.42,2427.5
9949,RSG,REPUBLIC SERVS,2018-06-30,QTR,82384,70.46153846153847,4.235079389562544,24.0974,1.85,278.8,0.345,414.4,690.1,0.73,0.71,37.36,7848.8,8196.4,239.6,319.1,12.16,2517.8
